"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y","age_weightage","income_weightage","occupation_class","expiration_weightage"
"No Urgent Place","Kids","Sunny","80","10AM","Restaurant(<20)","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","0","1",1,8,9,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Carry out & Take away","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","0","1",1,8,9,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Bar","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","0","1",1,8,9,"Professionals",2
"No Urgent Place","Kids","Sunny","80","2PM","Restaurant(<20)","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","0","1",1,8,9,"Professionals",2
"No Urgent Place","Kids","Sunny","55","2PM","Coffee House","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","0","1",1,8,9,"Professionals",2
"No Urgent Place","Kids","Sunny","55","6PM","Coffee House","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","0","1",1,8,9,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","1","0",1,8,9,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","0","1",0,8,9,"Professionals",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","1","0",1,8,9,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","1","0","1",0,8,9,"Professionals",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","1","0",1,8,9,"Professionals",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","1","0",0,8,9,"Professionals",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","1","0",1,8,9,"Professionals",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","1","0",1,8,9,"Professionals",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","1","0","1",0,8,9,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","0","0","1","0",0,8,9,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","50plus","Married partner","1","Graduate degree (Masters or Doctorate)","Education&Training&Library","$100000 or More","4~8","gt8","4~8","4~8","4~8","1","0","0","1",0,8,9,"Professionals",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","0","1",1,4,8,"Professionals",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","0","1",0,4,8,"Professionals",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Partner","Sunny","80","10AM","Restaurant(20-50)","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",0,4,8,"Professionals",2
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Partner","Sunny","80","2PM","Coffee House","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",1,4,8,"Professionals",2
"No Urgent Place","Partner","Sunny","80","6PM","Restaurant(<20)","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Partner","Sunny","80","6PM","Bar","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","0","1",0,4,8,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","1","0",1,4,8,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","0","1",1,4,8,"Professionals",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","1","0",0,4,8,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","1","0","1",0,4,8,"Professionals",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","1","0",0,4,8,"Professionals",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","1","0",1,4,8,"Professionals",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","1","0",0,4,8,"Professionals",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","1","0",1,4,8,"Professionals",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","1","0","1",1,4,8,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","0","0","1","0",1,4,8,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Male","31","Married partner","0","Bachelors degree","Management","$87500 - $99999","1~3","4~8","1~3","gt8","gt8","1","0","0","1",1,4,8,"Professionals",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",0,2,1,"Service and sales workers",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","0","1",0,2,1,"Service and sales workers",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","0","1",1,2,1,"Service and sales workers",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","0","1",1,2,1,"Service and sales workers",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",0,2,1,"Service and sales workers",24
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",0,2,1,"Service and sales workers",24
"No Urgent Place","Partner","Sunny","80","10AM","Restaurant(20-50)","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",1,2,1,"Service and sales workers",2
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","0","1",0,2,1,"Service and sales workers",24
"No Urgent Place","Partner","Sunny","80","2PM","Coffee House","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",0,2,1,"Service and sales workers",2
"No Urgent Place","Partner","Sunny","80","6PM","Restaurant(<20)","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",1,2,1,"Service and sales workers",24
"No Urgent Place","Partner","Sunny","80","6PM","Bar","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","0","1",1,2,1,"Service and sales workers",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","1","0",0,2,1,"Service and sales workers",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","0","1",0,2,1,"Service and sales workers",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","1","0",1,2,1,"Service and sales workers",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","1","0","1",0,2,1,"Service and sales workers",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","1","0",1,2,1,"Service and sales workers",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","1","0",1,2,1,"Service and sales workers",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","1","0",0,2,1,"Service and sales workers",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","1","0",0,2,1,"Service and sales workers",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","1","0","1",1,2,1,"Service and sales workers",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","0","0","1","0",1,2,1,"Service and sales workers",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","21","Married partner","0","Some college - no degree","Sales & Related","Less than $12500","never","never","4~8","4~8","less1","1","0","0","1",0,2,1,"Service and sales workers",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","0","1",0,5,3,"Professionals",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",0,5,3,"Professionals",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",1,5,3,"Professionals",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",1,5,3,"Professionals",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","0","1",0,5,3,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Restaurant(<20)","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",1,5,3,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Carry out & Take away","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",1,5,3,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Bar","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",0,5,3,"Professionals",2
"No Urgent Place","Kids","Sunny","80","2PM","Restaurant(<20)","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","0","1",1,5,3,"Professionals",2
"No Urgent Place","Kids","Sunny","55","2PM","Coffee House","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",0,5,3,"Professionals",2
"No Urgent Place","Kids","Sunny","55","6PM","Coffee House","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",0,5,3,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","1","0",0,5,3,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","0","1",0,5,3,"Professionals",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","1","0",1,5,3,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","1","0","1",0,5,3,"Professionals",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","1","0",1,5,3,"Professionals",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","1","0",1,5,3,"Professionals",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","1","0",0,5,3,"Professionals",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","1","0",0,5,3,"Professionals",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","1","0","1",1,5,3,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","0","0","1","0",1,5,3,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Female","36","Married partner","1","Some college - no degree","Computer & Mathematical","$25000 - $37499","never","never","1~3","less1","never","1","0","0","1",0,5,3,"Professionals",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",1,2,1,"Student",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","0","1",0,2,1,"Student",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","0","1",1,2,1,"Student",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","0","1",1,2,1,"Student",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",0,2,1,"Student",24
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",0,2,1,"Student",24
"No Urgent Place","Partner","Sunny","80","10AM","Restaurant(20-50)","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",0,2,1,"Student",2
"No Urgent Place","Partner","Sunny","80","10AM","Coffee House","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","0","1",0,2,1,"Student",24
"No Urgent Place","Partner","Sunny","80","2PM","Coffee House","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",0,2,1,"Student",2
"No Urgent Place","Partner","Sunny","80","6PM","Restaurant(<20)","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",1,2,1,"Student",24
"No Urgent Place","Partner","Sunny","80","6PM","Bar","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","0","1",1,2,1,"Student",2
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","1","0",0,2,1,"Student",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","0","1",0,2,1,"Student",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","1","0",1,2,1,"Student",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","1","0","1",0,2,1,"Student",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","1","0",1,2,1,"Student",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","1","0",0,2,1,"Student",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","1","0",0,2,1,"Student",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","1","0",0,2,1,"Student",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","1","0","1",0,2,1,"Student",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","0","0","1","0",1,2,1,"Student",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Male","21","Unmarried partner","0","Bachelors degree","Student","Less than $12500","1~3","less1","4~8","1~3","less1","1","0","0","1",1,2,1,"Student",24
"No Urgent Place","Alone","Sunny","80","10AM","Bar","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","0","1",0,4,7,"Professionals",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",0,4,7,"Professionals",2
"No Urgent Place","Friends","Sunny","80","2PM","Restaurant(<20)","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",0,4,7,"Professionals",2
"No Urgent Place","Friends","Sunny","80","6PM","Restaurant(<20)","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",1,4,7,"Professionals",24
"No Urgent Place","Friends","Sunny","55","2PM","Coffee House","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","0","1",0,4,7,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Restaurant(<20)","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",1,4,7,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Carry out & Take away","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",1,4,7,"Professionals",24
"No Urgent Place","Kids","Sunny","80","10AM","Bar","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",0,4,7,"Professionals",2
"No Urgent Place","Kids","Sunny","80","2PM","Restaurant(<20)","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","0","1",0,4,7,"Professionals",2
"No Urgent Place","Kids","Sunny","55","2PM","Coffee House","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",0,4,7,"Professionals",2
"No Urgent Place","Kids","Sunny","55","6PM","Coffee House","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",0,4,7,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","1","0",0,4,7,"Professionals",24
"Home","Alone","Sunny","80","6PM","Coffee House","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","0","1",0,4,7,"Professionals",24
"Home","Alone","Sunny","80","6PM","Restaurant(<20)","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","1","0",1,4,7,"Professionals",2
"Home","Alone","Sunny","80","6PM","Coffee House","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","1","0","1",0,4,7,"Professionals",2
"Home","Alone","Sunny","80","10PM","Restaurant(<20)","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","1","0",0,4,7,"Professionals",2
"Home","Alone","Sunny","80","10PM","Carry out & Take away","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","1","0",1,4,7,"Professionals",24
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","1","0",0,4,7,"Professionals",2
"Work","Alone","Sunny","80","7AM","Coffee House","2h","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","1","0",0,4,7,"Professionals",2
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","1","0","1",1,4,7,"Professionals",24
"Work","Alone","Sunny","80","7AM","Carry out & Take away","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","0","0","1","0",1,4,7,"Professionals",24
"Work","Alone","Sunny","55","7AM","Coffee House","1d","Male","31","Married partner","1","Bachelors degree","Computer & Mathematical","$75000 - $87499","never","never","1~3","1~3","never","1","0","0","1",0,4,7,"Professionals",24
"No Urgent Place","Friends","Sunny","80","10AM","Coffee House","2h","Female","26","Married partner","1","Bachelors degree","Protective Service","$100000 or More","never","gt8","4~8","gt8","1~3","1","0","0","1",1,3,9,"Service and sales workers",2
